"lsoa11cd","CAUTH18NM","lsoa11nm","IMD.2010.adjusted","National.quintile1","National.decile2","imd_rank","GOR.CODE","GOR.NAME","IMD.SCORE","RANK.OF.IMD.SCORE..where.1.is.most.deprived.","INCOME.SCORE","RANK.OF.INCOME.SCORE..where.1.is.most.deprived.","EMPLOYMENT.SCORE","RANK.OF.EMPLOYMENT.SCORE..where.1.is.most.deprived.","HEALTH.DEPRIVATION.AND.DISABILITY.SCORE","RANK.OF.HEALTH.DEPRIVATION.AND.DISABILITY.SCORE..where.1.is.most.deprived.","EDUCATION.SKILLS.AND.TRAINING.SCORE","RANK.OF.EDUCATION.SKILLS.AND.TRAINING.SCORE..where.1.is.most.deprived.","BARRIERS.TO.HOUSING.AND.SERVICES.SCORE","RANK.OF.BARRIERS.TO.HOUSING.AND.SERVICES.SCORE..where.1.is.most.deprived.","CRIME.AND.DISORDER.SCORE","RANK.OF.CRIME.SCORE..where.1.is.most.deprived.","LIVING.ENVIRONMENT.SCORE","RANK.OF.LIVING.ENVIRONMENT.SCORE..where.1.is.most.deprived.","Indoors.Sub.domain.Score","Indoors.Sub.domain.Rank..where.1.is.most.deprived.","Outdoors.Sub.domain.Score","Outdoors.Sub.domain.Rank..where.1.is.most.deprived.","Geographical.Barriers.Sub.domain.Score","Geographical.Barriers.Sub.domain.Rank..where.1.is.most.deprived.","Wider.Barriers.Sub.domain.Score","Wider.Barriers.Sub.domain.Rank..where.1.is.most.deprived.","Children.Young.People.Sub.domain.Score","Children.Young.People.Sub.domain.Rank..where.1.is.most.deprived.","Skills.Sub.domain.Score","Skills.Sub.domain.Rank..where.1.is.most.deprived.","IDACI.score","Rank.of.IDACI..where.1.is.most.deprived.","IDAOPI.score","Rank.of.IDAOPI..where.1.is.most.deprived."
"E01006188","Greater Manchester","Trafford 001F",28.28,2,3,9073,"B","North West",28.28,8977,0.28,4479,0.13,7948,0.78,6096,19.32,13831,11.95,25754,-0.56,24214,28.26,9261,28.21,9227,28.35,9167,3.05,28397,20.86,12862,21.76,12350,16.87,15380,0.28,9031,0.56,647
"E01006189","Greater Manchester","Trafford 003D",28.39,2,3,9038,"B","North West",28.39,8941,0.2,8592,0.13,8937,0.53,8734,35.6,6471,16.38,20739,0.15,14039,38.25,5537,27.34,9600,60.07,1991,20.53,13055,12.23,18914,33.97,7088,37.23,6095,0.34,6792,0.2,13760
"E01006190","Greater Manchester","Trafford 021B",6.31,5,9,28948,"B","North West",6.31,28639,0.03,30305,0.05,25246,-0.41,21826,2.56,29970,5.68,31056,0.08,15209,17.44,15761,11.83,19253,28.68,9033,6.1,24820,5.27,25744,0.72,31473,4.39,26761,0,32341,0.09,26472
"E01006191","Greater Manchester","Trafford 023B",4.13,5,10,31250,"B","North West",4.13,30918,0.03,31215,0.04,28824,-0.73,25831,3.13,29263,7.38,29954,-0.15,18490,12,20734,7.75,23066,20.48,13083,11.64,19411,3.12,28313,0.72,31465,5.55,25432,0.03,30873,0.06,29615
"E01006192","Greater Manchester","Trafford 023C",6.64,5,9,28551,"B","North West",6.64,28252,0.06,25631,0.05,25633,-0.52,23261,1.96,30665,6.14,30797,-0.06,17176,18,15325,9.66,21193,34.67,6864,5.03,26022,7.25,23584,0.71,31476,3.2,28203,0.04,29647,0.12,21999
"E01006193","Greater Manchester","Trafford 024D",5.08,5,10,30289,"B","North West",5.08,29969,0.05,27925,0.04,27367,-0.35,20907,2.28,30302,8.25,29291,-1.2,30082,17.22,15945,11.05,19925,29.56,8678,11.4,19619,5.09,25946,1.19,30820,3.37,28004,0.07,24907,0.07,29137
"E01006194","Greater Manchester","Trafford 024E",11.36,4,7,22499,"B","North West",11.36,22275,0.09,19533,0.06,22043,0.03,15578,1.89,30757,10.17,27532,0.29,12082,21.81,12677,25.23,10565,14.99,16727,6.18,24729,14.17,17349,1.99,29749,1.78,30029,0.08,23243,0.27,8553
"E01006195","Greater Manchester","Trafford 021C",4.79,5,10,30586,"B","North West",4.79,30267,0.03,30746,0.05,25103,-0.53,23296,5.58,26422,4.73,31561,-1.24,30286,15.75,17186,10.64,20297,25.97,10215,3.55,27781,5.92,25017,1.45,30471,9.71,21147,0.04,29759,0.06,30496
"E01006196","Greater Manchester","Trafford 021D",4.84,5,10,30528,"B","North West",4.84,30207,0.04,28317,0.04,27897,-0.35,20877,4.01,28246,6.94,30262,-1.02,28813,14.3,18493,15.13,16621,12.64,18572,10.01,20871,3.88,27380,1.64,30218,6.38,24507,0.01,32040,0.14,18924
"E01006197","Greater Manchester","Trafford 010D",10.67,4,8,23364,"B","North West",10.67,23133,0.09,19434,0.07,20259,-0.13,17845,5.6,26406,7.24,30057,-0.14,18387,20.46,13537,24.72,10808,11.93,19164,3.21,28202,11.28,19724,3.58,27741,7.62,23198,0.1,21061,0.17,16628
